user_ID,info_json
1,"{""radio_allgemeines_unbehagen_bzw_unwohlsein"": ""0"", ""radio_ermuedung"": ""1"", ""radio_kopfschmerzen"": ""1"", ""radio_ueberanstrengte_augen"": ""1"", ""radio_schwierigkeiten_mit_sehschaerfe"": ""1"", ""radio_erhoehte_speichelbildung"": ""0"", ""radio_schwitzen"": ""0"", ""radio_uebelkeit__erbrechen_konzentrationsschwierigkeiten"": ""0"", ""radio_druckgefuehl_im_kopfbereich"": ""0"", ""radio_verschwommene_sicht"": ""1"", ""radio_schwindelgefuehl__bei_geoeffneten_augen_"": ""0"", ""radio_schwindelgefuehl__bei_geschlossenen_augen_"": ""0"", ""radio_gleichgewichtsstoerungen"": ""0"", ""radio_magenbeschwerden"": ""0"", ""radio_aufstossen"": ""0"", ""radio_in_der_computererzeugten_welt_hatte_ich_den_eindruck__dort_gewesen_zu_sein"": ""3"", ""radio_ich_hatte_das_gefuehl__dass_die_virtuelle_umgebung_hinter_mir_weitergeht"": ""2"", ""radio_ich_hatte_das_gefuehl__nur_bilder_zu_sehen"": ""5"", ""radio_ich_hatte_nicht_das_gefuehl__in_dem_virtuellen_raum_zu_sein"": ""1"", ""radio_ich_hatte_das_gefuehl__in_dem_virtuellen_raum_zu_handeln_statt_etwas_von_aussen_zu_bedienen"": ""1"", ""radio_ich_fuehlte_mich_im_virtuellen_raum_anwesend"": ""2"", ""radio_wie_bewusst_war_ihnen_die_reale_welt__waehrend_sie_sich_durch_die_virtuelle_welt_bewegten__zb_geraeusche__raumtemperatur__andere_personen_etc_"": ""2"", ""radio_meine_reale_umgebung_war_mir_nicht_mehr_bewusst"": ""3"", ""radio_ich_achtete_noch_auf_die_reale_umgebung"": ""1"", ""radio_meine_aufmerksamkeit_war_von_der_virtuellen_welt_voellig_in_bann_gezogen"": ""4"", ""radio_wie_real_erschien_ihnen_die_virtuelle_umgebung"": ""3"", ""radio_wie_sehr_glich_ihr_erleben_der_virtuellen_umgebung_dem_erleben_einer_realen_umgebung"": ""4"", ""radio_wie_real_erschien_ihnen_die_virtuelle_welt"": ""2"", ""radio_die_virtuelle_welt_erschien_mir_wirklicher_als_die_reale_welt"": ""2""}"
2,"{""radio_allgemeines_unbehagen_bzw_unwohlsein"": ""0"", ""radio_ermuedung"": ""1"", ""radio_kopfschmerzen"": ""0"", ""radio_ueberanstrengte_augen"": ""0"", ""radio_schwierigkeiten_mit_sehschaerfe"": ""0"", ""radio_erhoehte_speichelbildung"": ""0"", ""radio_schwitzen"": ""0"", ""radio_uebelkeit__erbrechen_konzentrationsschwierigkeiten"": ""0"", ""radio_druckgefuehl_im_kopfbereich"": ""0"", ""radio_verschwommene_sicht"": ""0"", ""radio_schwindelgefuehl__bei_geoeffneten_augen_"": ""0"", ""radio_schwindelgefuehl__bei_geschlossenen_augen_"": ""0"", ""radio_gleichgewichtsstoerungen"": ""0"", ""radio_magenbeschwerden"": ""0"", ""radio_aufstossen"": ""0"", ""radio_in_der_computererzeugten_welt_hatte_ich_den_eindruck__dort_gewesen_zu_sein"": ""5"", ""radio_ich_hatte_das_gefuehl__dass_die_virtuelle_umgebung_hinter_mir_weitergeht"": ""3"", ""radio_ich_hatte_das_gefuehl__nur_bilder_zu_sehen"": ""3"", ""radio_ich_hatte_nicht_das_gefuehl__in_dem_virtuellen_raum_zu_sein"": ""4"", ""radio_ich_hatte_das_gefuehl__in_dem_virtuellen_raum_zu_handeln_statt_etwas_von_aussen_zu_bedienen"": ""3"", ""radio_ich_fuehlte_mich_im_virtuellen_raum_anwesend"": ""4"", ""radio_wie_bewusst_war_ihnen_die_reale_welt__waehrend_sie_sich_durch_die_virtuelle_welt_bewegten__zb_geraeusche__raumtemperatur__andere_personen_etc_"": ""4"", ""radio_meine_reale_umgebung_war_mir_nicht_mehr_bewusst"": ""4"", ""radio_ich_achtete_noch_auf_die_reale_umgebung"": ""4"", ""radio_meine_aufmerksamkeit_war_von_der_virtuellen_welt_voellig_in_bann_gezogen"": ""4"", ""radio_wie_real_erschien_ihnen_die_virtuelle_umgebung"": ""1"", ""radio_wie_sehr_glich_ihr_erleben_der_virtuellen_umgebung_dem_erleben_einer_realen_umgebung"": ""3"", ""radio_wie_real_erschien_ihnen_die_virtuelle_welt"": ""4"", ""radio_die_virtuelle_welt_erschien_mir_wirklicher_als_die_reale_welt"": ""2""}"
4,"{""radio_allgemeines_unbehagen_bzw_unwohlsein"": ""1"", ""radio_ermuedung"": ""1"", ""radio_kopfschmerzen"": ""0"", ""radio_ueberanstrengte_augen"": ""1"", ""radio_schwierigkeiten_mit_sehschaerfe"": ""0"", ""radio_erhoehte_speichelbildung"": ""0"", ""radio_schwitzen"": ""0"", ""radio_uebelkeit__erbrechen_konzentrationsschwierigkeiten"": ""1"", ""radio_druckgefuehl_im_kopfbereich"": ""0"", ""radio_verschwommene_sicht"": ""0"", ""radio_schwindelgefuehl__bei_geoeffneten_augen_"": ""0"", ""radio_schwindelgefuehl__bei_geschlossenen_augen_"": ""0"", ""radio_gleichgewichtsstoerungen"": ""0"", ""radio_magenbeschwerden"": ""0"", ""radio_aufstossen"": ""0"", ""radio_in_der_computererzeugten_welt_hatte_ich_den_eindruck__dort_gewesen_zu_sein"": ""3"", ""radio_ich_hatte_das_gefuehl__dass_die_virtuelle_umgebung_hinter_mir_weitergeht"": ""1"", ""radio_ich_hatte_das_gefuehl__nur_bilder_zu_sehen"": ""0"", ""radio_ich_hatte_nicht_das_gefuehl__in_dem_virtuellen_raum_zu_sein"": ""2"", ""radio_ich_hatte_das_gefuehl__in_dem_virtuellen_raum_zu_handeln_statt_etwas_von_aussen_zu_bedienen"": ""3"", ""radio_ich_fuehlte_mich_im_virtuellen_raum_anwesend"": ""3"", ""radio_wie_bewusst_war_ihnen_die_reale_welt__waehrend_sie_sich_durch_die_virtuelle_welt_bewegten__zb_geraeusche__raumtemperatur__andere_personen_etc_"": ""1"", ""radio_meine_reale_umgebung_war_mir_nicht_mehr_bewusst"": ""0"", ""radio_ich_achtete_noch_auf_die_reale_umgebung"": ""1"", ""radio_meine_aufmerksamkeit_war_von_der_virtuellen_welt_voellig_in_bann_gezogen"": ""5"", ""radio_wie_real_erschien_ihnen_die_virtuelle_umgebung"": ""3"", ""radio_wie_sehr_glich_ihr_erleben_der_virtuellen_umgebung_dem_erleben_einer_realen_umgebung"": ""3"", ""radio_wie_real_erschien_ihnen_die_virtuelle_welt"": ""5"", ""radio_die_virtuelle_welt_erschien_mir_wirklicher_als_die_reale_welt"": ""1""}"
5,"{""radio_allgemeines_unbehagen_bzw_unwohlsein"": ""0"", ""radio_ermuedung"": ""0"", ""radio_kopfschmerzen"": ""0"", ""radio_ueberanstrengte_augen"": ""0"", ""radio_schwierigkeiten_mit_sehschaerfe"": ""0"", ""radio_erhoehte_speichelbildung"": ""0"", ""radio_schwitzen"": ""0"", ""radio_uebelkeit__erbrechen_konzentrationsschwierigkeiten"": ""0"", ""radio_druckgefuehl_im_kopfbereich"": ""2"", ""radio_verschwommene_sicht"": ""0"", ""radio_schwindelgefuehl__bei_geoeffneten_augen_"": ""0"", ""radio_schwindelgefuehl__bei_geschlossenen_augen_"": ""0"", ""radio_gleichgewichtsstoerungen"": ""0"", ""radio_magenbeschwerden"": ""0"", ""radio_aufstossen"": ""0"", ""radio_in_der_computererzeugten_welt_hatte_ich_den_eindruck__dort_gewesen_zu_sein"": ""6"", ""radio_ich_hatte_das_gefuehl__dass_die_virtuelle_umgebung_hinter_mir_weitergeht"": ""6"", ""radio_ich_hatte_das_gefuehl__nur_bilder_zu_sehen"": ""0"", ""radio_ich_hatte_nicht_das_gefuehl__in_dem_virtuellen_raum_zu_sein"": ""0"", ""radio_ich_hatte_das_gefuehl__in_dem_virtuellen_raum_zu_handeln_statt_etwas_von_aussen_zu_bedienen"": ""5"", ""radio_ich_fuehlte_mich_im_virtuellen_raum_anwesend"": ""6"", ""radio_wie_bewusst_war_ihnen_die_reale_welt__waehrend_sie_sich_durch_die_virtuelle_welt_bewegten__zb_geraeusche__raumtemperatur__andere_personen_etc_"": ""3"", ""radio_meine_reale_umgebung_war_mir_nicht_mehr_bewusst"": ""2"", ""radio_ich_achtete_noch_auf_die_reale_umgebung"": ""3"", ""radio_meine_aufmerksamkeit_war_von_der_virtuellen_welt_voellig_in_bann_gezogen"": ""4"", ""radio_wie_real_erschien_ihnen_die_virtuelle_umgebung"": ""1"", ""radio_wie_sehr_glich_ihr_erleben_der_virtuellen_umgebung_dem_erleben_einer_realen_umgebung"": ""5"", ""radio_wie_real_erschien_ihnen_die_virtuelle_welt"": ""5"", ""radio_die_virtuelle_welt_erschien_mir_wirklicher_als_die_reale_welt"": ""0""}"
7,"{""radio_allgemeines_unbehagen_bzw_unwohlsein"": ""1"", ""radio_ermuedung"": ""1"", ""radio_kopfschmerzen"": ""0"", ""radio_ueberanstrengte_augen"": ""1"", ""radio_schwierigkeiten_mit_sehschaerfe"": ""1"", ""radio_erhoehte_speichelbildung"": ""0"", ""radio_schwitzen"": ""0"", ""radio_uebelkeit__erbrechen_konzentrationsschwierigkeiten"": ""0"", ""radio_druckgefuehl_im_kopfbereich"": ""1"", ""radio_verschwommene_sicht"": ""0"", ""radio_schwindelgefuehl__bei_geoeffneten_augen_"": ""0"", ""radio_schwindelgefuehl__bei_geschlossenen_augen_"": ""1"", ""radio_gleichgewichtsstoerungen"": ""0"", ""radio_magenbeschwerden"": ""0"", ""radio_aufstossen"": ""0"", ""radio_in_der_computererzeugten_welt_hatte_ich_den_eindruck__dort_gewesen_zu_sein"": ""4"", ""radio_ich_hatte_das_gefuehl__dass_die_virtuelle_umgebung_hinter_mir_weitergeht"": ""5"", ""radio_ich_hatte_das_gefuehl__nur_bilder_zu_sehen"": ""1"", ""radio_ich_hatte_nicht_das_gefuehl__in_dem_virtuellen_raum_zu_sein"": ""0"", ""radio_ich_hatte_das_gefuehl__in_dem_virtuellen_raum_zu_handeln_statt_etwas_von_aussen_zu_bedienen"": ""3"", ""radio_ich_fuehlte_mich_im_virtuellen_raum_anwesend"": ""4"", ""radio_wie_bewusst_war_ihnen_die_reale_welt__waehrend_sie_sich_durch_die_virtuelle_welt_bewegten__zb_geraeusche__raumtemperatur__andere_personen_etc_"": ""2"", ""radio_meine_reale_umgebung_war_mir_nicht_mehr_bewusst"": ""2"", ""radio_ich_achtete_noch_auf_die_reale_umgebung"": ""1"", ""radio_meine_aufmerksamkeit_war_von_der_virtuellen_welt_voellig_in_bann_gezogen"": ""4"", ""radio_wie_real_erschien_ihnen_die_virtuelle_umgebung"": ""2"", ""radio_wie_sehr_glich_ihr_erleben_der_virtuellen_umgebung_dem_erleben_einer_realen_umgebung"": ""3"", ""radio_wie_real_erschien_ihnen_die_virtuelle_welt"": ""1"", ""radio_die_virtuelle_welt_erschien_mir_wirklicher_als_die_reale_welt"": ""0""}"
9,"{""radio_allgemeines_unbehagen_bzw_unwohlsein"": ""0"", ""radio_ermuedung"": ""0"", ""radio_kopfschmerzen"": ""0"", ""radio_ueberanstrengte_augen"": ""0"", ""radio_schwierigkeiten_mit_sehschaerfe"": ""0"", ""radio_erhoehte_speichelbildung"": ""0"", ""radio_schwitzen"": ""0"", ""radio_uebelkeit__erbrechen_konzentrationsschwierigkeiten"": ""0"", ""radio_druckgefuehl_im_kopfbereich"": ""0"", ""radio_verschwommene_sicht"": ""0"", ""radio_schwindelgefuehl__bei_geoeffneten_augen_"": ""0"", ""radio_schwindelgefuehl__bei_geschlossenen_augen_"": ""0"", ""radio_gleichgewichtsstoerungen"": ""0"", ""radio_magenbeschwerden"": ""0"", ""radio_aufstossen"": ""0"", ""radio_in_der_computererzeugten_welt_hatte_ich_den_eindruck__dort_gewesen_zu_sein"": ""6"", ""radio_ich_hatte_das_gefuehl__dass_die_virtuelle_umgebung_hinter_mir_weitergeht"": ""6"", ""radio_ich_hatte_das_gefuehl__nur_bilder_zu_sehen"": ""0"", ""radio_ich_hatte_nicht_das_gefuehl__in_dem_virtuellen_raum_zu_sein"": ""0"", ""radio_ich_hatte_das_gefuehl__in_dem_virtuellen_raum_zu_handeln_statt_etwas_von_aussen_zu_bedienen"": ""5"", ""radio_ich_fuehlte_mich_im_virtuellen_raum_anwesend"": ""6"", ""radio_wie_bewusst_war_ihnen_die_reale_welt__waehrend_sie_sich_durch_die_virtuelle_welt_bewegten__zb_geraeusche__raumtemperatur__andere_personen_etc_"": ""5"", ""radio_meine_reale_umgebung_war_mir_nicht_mehr_bewusst"": ""5"", ""radio_ich_achtete_noch_auf_die_reale_umgebung"": ""2"", ""radio_meine_aufmerksamkeit_war_von_der_virtuellen_welt_voellig_in_bann_gezogen"": ""5"", ""radio_wie_real_erschien_ihnen_die_virtuelle_umgebung"": ""0"", ""radio_wie_sehr_glich_ihr_erleben_der_virtuellen_umgebung_dem_erleben_einer_realen_umgebung"": ""2"", ""radio_wie_real_erschien_ihnen_die_virtuelle_welt"": ""2"", ""radio_die_virtuelle_welt_erschien_mir_wirklicher_als_die_reale_welt"": ""0""}"
10,"{""radio_allgemeines_unbehagen_bzw_unwohlsein"": ""0"", ""radio_ermuedung"": ""2"", ""radio_kopfschmerzen"": ""0"", ""radio_ueberanstrengte_augen"": ""0"", ""radio_schwierigkeiten_mit_sehschaerfe"": ""1"", ""radio_erhoehte_speichelbildung"": ""0"", ""radio_schwitzen"": ""0"", ""radio_uebelkeit__erbrechen_konzentrationsschwierigkeiten"": ""0"", ""radio_druckgefuehl_im_kopfbereich"": ""0"", ""radio_verschwommene_sicht"": ""1"", ""radio_schwindelgefuehl__bei_geoeffneten_augen_"": ""1"", ""radio_schwindelgefuehl__bei_geschlossenen_augen_"": ""1"", ""radio_gleichgewichtsstoerungen"": ""0"", ""radio_magenbeschwerden"": ""0"", ""radio_aufstossen"": ""0"", ""radio_in_der_computererzeugten_welt_hatte_ich_den_eindruck__dort_gewesen_zu_sein"": ""3"", ""radio_ich_hatte_das_gefuehl__dass_die_virtuelle_umgebung_hinter_mir_weitergeht"": ""5"", ""radio_ich_hatte_das_gefuehl__nur_bilder_zu_sehen"": ""2"", ""radio_ich_hatte_nicht_das_gefuehl__in_dem_virtuellen_raum_zu_sein"": ""2"", ""radio_ich_hatte_das_gefuehl__in_dem_virtuellen_raum_zu_handeln_statt_etwas_von_aussen_zu_bedienen"": ""4"", ""radio_ich_fuehlte_mich_im_virtuellen_raum_anwesend"": ""4"", ""radio_wie_bewusst_war_ihnen_die_reale_welt__waehrend_sie_sich_durch_die_virtuelle_welt_bewegten__zb_geraeusche__raumtemperatur__andere_personen_etc_"": ""2"", ""radio_meine_reale_umgebung_war_mir_nicht_mehr_bewusst"": ""0"", ""radio_ich_achtete_noch_auf_die_reale_umgebung"": ""4"", ""radio_meine_aufmerksamkeit_war_von_der_virtuellen_welt_voellig_in_bann_gezogen"": ""2"", ""radio_wie_real_erschien_ihnen_die_virtuelle_umgebung"": ""2"", ""radio_wie_sehr_glich_ihr_erleben_der_virtuellen_umgebung_dem_erleben_einer_realen_umgebung"": ""2"", ""radio_wie_real_erschien_ihnen_die_virtuelle_welt"": ""1"", ""radio_die_virtuelle_welt_erschien_mir_wirklicher_als_die_reale_welt"": ""0""}"
11,"{""radio_allgemeines_unbehagen_bzw_unwohlsein"": ""0"", ""radio_ermuedung"": ""1"", ""radio_kopfschmerzen"": ""0"", ""radio_ueberanstrengte_augen"": ""1"", ""radio_schwierigkeiten_mit_sehschaerfe"": ""0"", ""radio_erhoehte_speichelbildung"": ""0"", ""radio_schwitzen"": ""0"", ""radio_uebelkeit__erbrechen_konzentrationsschwierigkeiten"": ""0"", ""radio_druckgefuehl_im_kopfbereich"": ""0"", ""radio_verschwommene_sicht"": ""0"", ""radio_schwindelgefuehl__bei_geoeffneten_augen_"": ""0"", ""radio_schwindelgefuehl__bei_geschlossenen_augen_"": ""1"", ""radio_gleichgewichtsstoerungen"": ""0"", ""radio_magenbeschwerden"": ""0"", ""radio_aufstossen"": ""0"", ""radio_in_der_computererzeugten_welt_hatte_ich_den_eindruck__dort_gewesen_zu_sein"": ""4"", ""radio_ich_hatte_das_gefuehl__dass_die_virtuelle_umgebung_hinter_mir_weitergeht"": ""3"", ""radio_ich_hatte_das_gefuehl__nur_bilder_zu_sehen"": ""1"", ""radio_ich_hatte_nicht_das_gefuehl__in_dem_virtuellen_raum_zu_sein"": ""4"", ""radio_ich_hatte_das_gefuehl__in_dem_virtuellen_raum_zu_handeln_statt_etwas_von_aussen_zu_bedienen"": ""5"", ""radio_ich_fuehlte_mich_im_virtuellen_raum_anwesend"": ""4"", ""radio_wie_bewusst_war_ihnen_die_reale_welt__waehrend_sie_sich_durch_die_virtuelle_welt_bewegten__zb_geraeusche__raumtemperatur__andere_personen_etc_"": ""6"", ""radio_meine_reale_umgebung_war_mir_nicht_mehr_bewusst"": ""6"", ""radio_ich_achtete_noch_auf_die_reale_umgebung"": ""0"", ""radio_meine_aufmerksamkeit_war_von_der_virtuellen_welt_voellig_in_bann_gezogen"": ""6"", ""radio_wie_real_erschien_ihnen_die_virtuelle_umgebung"": ""2"", ""radio_wie_sehr_glich_ihr_erleben_der_virtuellen_umgebung_dem_erleben_einer_realen_umgebung"": ""4"", ""radio_wie_real_erschien_ihnen_die_virtuelle_welt"": ""5"", ""radio_die_virtuelle_welt_erschien_mir_wirklicher_als_die_reale_welt"": ""1""}"
13,"{""radio_allgemeines_unbehagen_bzw_unwohlsein"": ""0"", ""radio_ermuedung"": ""0"", ""radio_kopfschmerzen"": ""0"", ""radio_ueberanstrengte_augen"": ""1"", ""radio_schwierigkeiten_mit_sehschaerfe"": ""1"", ""radio_erhoehte_speichelbildung"": ""0"", ""radio_schwitzen"": ""0"", ""radio_uebelkeit__erbrechen_konzentrationsschwierigkeiten"": ""0"", ""radio_druckgefuehl_im_kopfbereich"": ""1"", ""radio_verschwommene_sicht"": ""0"", ""radio_schwindelgefuehl__bei_geoeffneten_augen_"": ""0"", ""radio_schwindelgefuehl__bei_geschlossenen_augen_"": ""0"", ""radio_gleichgewichtsstoerungen"": ""0"", ""radio_magenbeschwerden"": ""0"", ""radio_aufstossen"": ""0"", ""radio_in_der_computererzeugten_welt_hatte_ich_den_eindruck__dort_gewesen_zu_sein"": ""0"", ""radio_ich_hatte_das_gefuehl__dass_die_virtuelle_umgebung_hinter_mir_weitergeht"": ""6"", ""radio_ich_hatte_das_gefuehl__nur_bilder_zu_sehen"": ""3"", ""radio_ich_hatte_nicht_das_gefuehl__in_dem_virtuellen_raum_zu_sein"": ""4"", ""radio_ich_hatte_das_gefuehl__in_dem_virtuellen_raum_zu_handeln_statt_etwas_von_aussen_zu_bedienen"": ""0"", ""radio_ich_fuehlte_mich_im_virtuellen_raum_anwesend"": ""0"", ""radio_wie_bewusst_war_ihnen_die_reale_welt__waehrend_sie_sich_durch_die_virtuelle_welt_bewegten__zb_geraeusche__raumtemperatur__andere_personen_etc_"": ""5"", ""radio_meine_reale_umgebung_war_mir_nicht_mehr_bewusst"": ""5"", ""radio_ich_achtete_noch_auf_die_reale_umgebung"": ""0"", ""radio_meine_aufmerksamkeit_war_von_der_virtuellen_welt_voellig_in_bann_gezogen"": ""6"", ""radio_wie_real_erschien_ihnen_die_virtuelle_umgebung"": ""5"", ""radio_wie_sehr_glich_ihr_erleben_der_virtuellen_umgebung_dem_erleben_einer_realen_umgebung"": ""2"", ""radio_wie_real_erschien_ihnen_die_virtuelle_welt"": ""2"", ""radio_die_virtuelle_welt_erschien_mir_wirklicher_als_die_reale_welt"": ""0""}"
14,"{""radio_allgemeines_unbehagen_bzw_unwohlsein"": ""0"", ""radio_ermuedung"": ""0"", ""radio_kopfschmerzen"": ""0"", ""radio_ueberanstrengte_augen"": ""0"", ""radio_schwierigkeiten_mit_sehschaerfe"": ""0"", ""radio_erhoehte_speichelbildung"": ""1"", ""radio_schwitzen"": ""1"", ""radio_uebelkeit__erbrechen_konzentrationsschwierigkeiten"": ""0"", ""radio_druckgefuehl_im_kopfbereich"": ""1"", ""radio_verschwommene_sicht"": ""1"", ""radio_schwindelgefuehl__bei_geoeffneten_augen_"": ""0"", ""radio_schwindelgefuehl__bei_geschlossenen_augen_"": ""2"", ""radio_gleichgewichtsstoerungen"": ""0"", ""radio_magenbeschwerden"": ""0"", ""radio_aufstossen"": ""0"", ""radio_in_der_computererzeugten_welt_hatte_ich_den_eindruck__dort_gewesen_zu_sein"": ""0"", ""radio_ich_hatte_das_gefuehl__dass_die_virtuelle_umgebung_hinter_mir_weitergeht"": ""0"", ""radio_ich_hatte_das_gefuehl__nur_bilder_zu_sehen"": ""5"", ""radio_ich_hatte_nicht_das_gefuehl__in_dem_virtuellen_raum_zu_sein"": ""1"", ""radio_ich_hatte_das_gefuehl__in_dem_virtuellen_raum_zu_handeln_statt_etwas_von_aussen_zu_bedienen"": ""6"", ""radio_ich_fuehlte_mich_im_virtuellen_raum_anwesend"": ""3"", ""radio_wie_bewusst_war_ihnen_die_reale_welt__waehrend_sie_sich_durch_die_virtuelle_welt_bewegten__zb_geraeusche__raumtemperatur__andere_personen_etc_"": ""6"", ""radio_meine_reale_umgebung_war_mir_nicht_mehr_bewusst"": ""6"", ""radio_ich_achtete_noch_auf_die_reale_umgebung"": ""0"", ""radio_meine_aufmerksamkeit_war_von_der_virtuellen_welt_voellig_in_bann_gezogen"": ""6"", ""radio_wie_real_erschien_ihnen_die_virtuelle_umgebung"": ""2"", ""radio_wie_sehr_glich_ihr_erleben_der_virtuellen_umgebung_dem_erleben_einer_realen_umgebung"": ""1"", ""radio_wie_real_erschien_ihnen_die_virtuelle_welt"": ""0"", ""radio_die_virtuelle_welt_erschien_mir_wirklicher_als_die_reale_welt"": ""0""}"
